s2_virtual_provider.id,s2_virtual_provider.gmt_create,s2_virtual_provider.gmt_modified,s2_virtual_provider.provider_name,s2_virtual_provider.logo_url,s2_virtual_provider.belong_type,s2_virtual_provider.apply_member_id,s2_virtual_provider.site_id,s2_virtual_provider.data_sync_way,s2_virtual_provider.external_id,s2_virtual_provider.epay_account,s2_virtual_provider.contact_email,s2_virtual_provider.contact_name,s2_virtual_provider.contact_phone_number,s2_virtual_provider.fee_rate,s2_virtual_provider.provider_type,s2_virtual_provider.main_category_id,s2_virtual_provider.protocol_confirm,s2_virtual_provider.protocol_confirm_time,s2_virtual_provider.day
400000000090003,1503627415223,1503627415224,重庆天极网络有限公司,NULL,4,NULL,400000000087003,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000096003,1503627448541,1503627448542,安世联合商务服务（北京）有限公司,NULL,4,NULL,400000000093003,NULL,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000096005,1503627495665,1503627495666,信诚人寿保险有限公司上海分公司,NULL,4,NULL,400000000093005,NULL,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000101004,1503627509507,1503627509509,联合汽车电子有限公司,NULL,4,NULL,400000000098004,NULL,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000106002,1503627442892,1503627442893,厦门双瑞船舶涂料有限公司,NULL,4,NULL,400000000102002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000108001,1503627428188,1503627428190,河北建投新能源有限公司,NULL,4,NULL,400000000104001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000110001,1503627411946,1503627411948,北京古北水镇旅游有限公司,NULL,4,NULL,400000000106001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000112003,1504770811409,1504770811411,中国保险保障基金有限责任公司,NULL,4,NULL,400000000108003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000114001,1504679609075,1504679609076,重庆信息通信研究院,NULL,4,NULL,400000000110001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000114002,1503627204857,1503627204861,上汽通用(沈阳)北盛汽车有限公司,NULL,4,NULL,400000000110002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000115001,1498480155583,1508212252547,长安轿车销售事业部,NULL,4,NULL,400000000111001,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000115002,1503627188936,1503627188938,简柏特（大连）有限公司,NULL,4,NULL,400000000111002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000116001,1503627171189,1503627171190,上海千问网络科技有限公司,NULL,4,NULL,400000000112001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000116002,1503627142282,1503627142283,重庆海泰管理服务有限公司,NULL,4,NULL,400000000112002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000125001,1503627062587,1503627062589,重庆长安铃木汽车有限公司,NULL,4,NULL,400000000121001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000128001,1503626876009,1503626876011,云南机场集团,NULL,4,NULL,400000000124001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000134001,1503627033879,1503627033880,胜利测井公司,NULL,4,NULL,400000000127001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000135002,1503627016533,1503627016535,青岛海森林进出口有限公司,NULL,4,NULL,400000000128002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000137001,1503626997506,1503626997507,上交所技术有限责任公司,NULL,4,NULL,400000000130001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000140001,1503626945843,1503626945844,北京五八信息技术有限公司,NULL,4,NULL,400000000133001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000149001,1503626928193,1503626928195,宝马集团中国学院,NULL,4,NULL,400000000142001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000199009,1504235707895,1504235707907,深圳市云创服装设计有限公司,NULL,4,NULL,400000000154001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000200009,1504163416045,1504163416047,慧与（中国）有限公司,NULL,4,NULL,400000000153001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000214007,1508292883301,1508292883303,云能投（北京）投资咨询有限公司,NULL,4,NULL,400000000157001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000230013,1506502184821,1506502184830,广东劳卡家具有限公司,NULL,4,NULL,400000000163003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000232001,1505825861475,1505825861475,wjnuser16test企业名称,NULL,4,NULL,400000000161001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000233006,1506738745287,1506738745289,浙江恒逸集团有限公司,NULL,4,NULL,400000000162001,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000235027,1506499195181,1506499195183,杭州慧融信息技术有限公司,NULL,4,NULL,400000000166003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000235094,1507992300781,1507992300809,东风小康汽车有限公司,NULL,4,NULL,400000000166004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000237025,1507872729696,1507872729698,上海海立（集团）股份有限公司,NULL,4,NULL,400000000169001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000237077,1508397938757,1508397938769,西门子工业技术培训中心,NULL,4,NULL,400000000169002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000239013,1506415549967,1506415549969,深圳奥哲网络科技有限公司,NULL,4,NULL,400000000167001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
400000000250004,1507872030501,1507872030502,苏州高新文体集团有限公司,NULL,4,NULL,400000000172001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2017-10-21
